step,mean_iterations,std_iterations,mean_minimum,std_minimum
0.01,357.84,71.13574628834648,-0.5952753944753426,2.631864457253212e-13
0.05,66.74,14.032547879839926,-0.5952753944769555,1.0159668868631002e-12
0.0833,37.12,8.805997955938896,-0.5952753944793011,1.9139177618231186e-12
0.1,30.04,6.9998857133527554,-0.5952753944794612,2.4205939738722985e-12
0.1667,16.06,3.50662230643678,-0.5952753944825306,2.929389081107799e-12
0.2,12.26,2.917601754866486,-0.5952753944838727,3.245698244305037e-12
0.25,7.64,2.2339203208709124,-0.5952753944866018,2.6450689628946697e-12
0.26,6.66,2.159722204358699,-0.595275394486828,2.2672995814677567e-12
0.27,2006.02,13999.140132865305,,
0.28,4006.24,19594.644284150705,,
